title,price,new_used_or_certified,year,sorted_by,mileage,car_make,scrape_date
Used 2002 Chevrolet Suburban 2500 LS,"13,995",Used,2002,Mileage - Highest,"245,510 miles",Chevrolet,2023-06-16
Used 2012 RAM 2500 ST,"5,000",Used,2012,Mileage - Highest,"244,906 miles",,2023-06-16
Used 2014 Toyota Tundra SR5,"10,900",Used,2014,Mileage - Highest,"244,157 miles",Toyota,2023-06-16
Used 2010 Ford Escape Limited,"37,990",Used,2010,Mileage - Highest,"244,000 miles",Ford,2023-06-16
Used 2004 Dodge Durango ST,"10,995",Used,2004,Mileage - Highest,"242,135 miles",Dodge,2023-06-16
Used 2002 Honda CR-V EX,"15,985",Used,2002,Mileage - Highest,"242,000 miles",Honda,2023-06-16
Used 2011 Toyota Venza AWD,"8,950",Used,2011,Mileage - Highest,"241,105 miles",Toyota,2023-06-16
Used 2001 Toyota Sienna CE,"11,999",Used,2001,Mileage - Highest,"240,871 miles",Toyota,2023-06-16
Used 2014 Toyota Tundra SR5,"3,300",Used,2014,Mileage - Highest,"240,211 miles",Toyota,2023-06-16
Used 2004 Honda CR-V LX,"8,995",Used,2004,Mileage - Highest,"240,088 miles",Honda,2023-06-16
Used 2007 Toyota Tundra SR5,"21,985",Used,2007,Mileage - Highest,"239,563 miles",Toyota,2023-06-16
Used 2017 Ford F350 Lariat,"6,995",Used,2017,Mileage - Highest,"239,446 miles",Ford,2023-06-16
Used 2013 Toyota Tundra 2WD CrewMax,"10,888",Used,2013,Mileage - Highest,"239,341 miles",Toyota,2023-06-16
Used 2015 Toyota Highlander XLE,"9,995",Used,2015,Mileage - Highest,"239,291 miles",Toyota,2023-06-16
Used 2007 Toyota 4Runner Sport,"23,995",Used,2007,Mileage - Highest,"239,000 miles",Toyota,2023-06-16
Used 2009 Chevrolet Silverado 3500 W/T,"25,999",Used,2009,Mileage - Highest,"238,828 miles",Chevrolet,2023-06-16
Used 1992 Toyota Corolla Deluxe,"9,000",Used,1992,Mileage - Highest,"238,718 miles",Toyota,2023-06-16
Used 2004 Chevrolet Tahoe Z71,"7,991",Used,2004,Mileage - Highest,"238,558 miles",Chevrolet,2023-06-16
"Used 2016 Ford Transit 250 148"" High Roof","8,995",Used,2016,Mileage - Highest,"237,893 miles",Ford,2023-06-16
Used 2010 Honda Element LX,"10,985",Used,2010,Mileage - Highest,"237,127 miles",Honda,2023-06-16
Used 2013 Ford Focus Titanium,"15,921",Used,2013,Mileage - Highest,"236,420 miles",Ford,2023-06-16
Used 2003 Ford F150 XLT,"1,999",Used,2003,Mileage - Highest,"236,397 miles",Ford,2023-06-16
Used 2013 Toyota RAV4 XLE,"21,985",Used,2013,Mileage - Highest,"236,000 miles",Toyota,2023-06-16
Used 2011 Ford F350 XL,"5,950",Used,2011,Mileage - Highest,"236,000 miles",Ford,2023-06-16
Used 2012 RAM 3500 SLT,"8,998",Used,2012,Mileage - Highest,"235,982 miles",,2023-06-16
Used 2000 Toyota 4Runner Limited,"17,991",Used,2000,Mileage - Highest,"235,691 miles",Toyota,2023-06-16
Used 2014 Honda Civic EX,"13,485",Used,2014,Mileage - Highest,"235,605 miles",Honda,2023-06-16
